"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2014"	"2014"	"September"	"9"	"Single"	"1"	20210
	"2014"	"2014"	"September"	"9"	"Twin"	"2"	725
	"2014"	"2014"	"September"	"9"	"Triplet"	"3"	18
	"2014"	"2014"	"October"	"10"	"Single"	"1"	19547
	"2014"	"2014"	"October"	"10"	"Twin"	"2"	768
	"2014"	"2014"	"November"	"11"	"Single"	"1"	18048
	"2014"	"2014"	"November"	"11"	"Twin"	"2"	689
	"2014"	"2014"	"November"	"11"	"Triplet"	"3"	37
	"2014"	"2014"	"December"	"12"	"Single"	"1"	19148
	"2014"	"2014"	"December"	"12"	"Twin"	"2"	838
	"2014"	"2014"	"December"	"12"	"Triplet"	"3"	17
	"2015"	"2015"	"January"	"1"	"Single"	"1"	18396
	"2015"	"2015"	"January"	"1"	"Twin"	"2"	660
	"2015"	"2015"	"January"	"1"	"Triplet"	"3"	23
	"2015"	"2015"	"February"	"2"	"Single"	"1"	17054
	"2015"	"2015"	"February"	"2"	"Twin"	"2"	656
	"2015"	"2015"	"February"	"2"	"Triplet"	"3"	26
	"2015"	"2015"	"March"	"3"	"Single"	"1"	18985
	"2015"	"2015"	"March"	"3"	"Twin"	"2"	719
	"2015"	"2015"	"March"	"3"	"Triplet"	"3"	15
	"2015"	"2015"	"April"	"4"	"Single"	"1"	18583
	"2015"	"2015"	"April"	"4"	"Twin"	"2"	736
	"2015"	"2015"	"April"	"4"	"Triplet"	"3"	15
	"2015"	"2015"	"May"	"5"	"Single"	"1"	19568
	"2015"	"2015"	"May"	"5"	"Twin"	"2"	758
	"2015"	"2015"	"May"	"5"	"Triplet"	"3"	26
	"2015"	"2015"	"June"	"6"	"Single"	"1"	19438
	"2015"	"2015"	"June"	"6"	"Twin"	"2"	756
	"2015"	"2015"	"June"	"6"	"Triplet"	"3"	30
	"2015"	"2015"	"July"	"7"	"Single"	"1"	20289
	"2015"	"2015"	"July"	"7"	"Twin"	"2"	749
	"2015"	"2015"	"July"	"7"	"Triplet"	"3"	33
	"2015"	"2015"	"August"	"8"	"Single"	"1"	20060
	"2015"	"2015"	"August"	"8"	"Twin"	"2"	702
	"2015"	"2015"	"August"	"8"	"Triplet"	"3"	15
	"2015"	"2015"	"September"	"9"	"Single"	"1"	19760
	"2015"	"2015"	"September"	"9"	"Twin"	"2"	652
	"2015"	"2015"	"September"	"9"	"Triplet"	"3"	28
	"2015"	"2015"	"October"	"10"	"Single"	"1"	19486
	"2015"	"2015"	"October"	"10"	"Twin"	"2"	748
	"2015"	"2015"	"October"	"10"	"Triplet"	"3"	21
	"2015"	"2015"	"November"	"11"	"Single"	"1"	18026
	"2015"	"2015"	"November"	"11"	"Twin"	"2"	624
	"2015"	"2015"	"November"	"11"	"Triplet"	"3"	12
	"2015"	"2015"	"December"	"12"	"Single"	"1"	18840
	"2015"	"2015"	"December"	"12"	"Twin"	"2"	740
	"2015"	"2015"	"December"	"12"	"Triplet"	"3"	21
	"2016"	"2016"	"January"	"1"	"Single"	"1"	18422
	"2016"	"2016"	"January"	"1"	"Twin"	"2"	703
	"2016"	"2016"	"February"	"2"	"Single"	"1"	17522
	"2016"	"2016"	"February"	"2"	"Twin"	"2"	656
	"2016"	"2016"	"March"	"3"	"Single"	"1"	18320
	"2016"	"2016"	"March"	"3"	"Twin"	"2"	751
	"2016"	"2016"	"March"	"3"	"Triplet"	"3"	15
	"2016"	"2016"	"April"	"4"	"Single"	"1"	18286
	"2016"	"2016"	"April"	"4"	"Twin"	"2"	757
	"2016"	"2016"	"April"	"4"	"Triplet"	"3"	30
	"2016"	"2016"	"May"	"5"	"Single"	"1"	19143
	"2016"	"2016"	"May"	"5"	"Twin"	"2"	726
	"2016"	"2016"	"May"	"5"	"Triplet"	"3"	22
	"2016"	"2016"	"June"	"6"	"Single"	"1"	18919
	"2016"	"2016"	"June"	"6"	"Twin"	"2"	648
	"2016"	"2016"	"June"	"6"	"Triplet"	"3"	20
	"2016"	"2016"	"July"	"7"	"Single"	"1"	19785
	"2016"	"2016"	"July"	"7"	"Twin"	"2"	756
	"2016"	"2016"	"August"	"8"	"Single"	"1"	20429
	"2016"	"2016"	"August"	"8"	"Twin"	"2"	713
	"2016"	"2016"	"August"	"8"	"Triplet"	"3"	21
	"2016"	"2016"	"September"	"9"	"Single"	"1"	19399
	"2016"	"2016"	"September"	"9"	"Twin"	"2"	655
	"2016"	"2016"	"September"	"9"	"Triplet"	"3"	14
	"2016"	"2016"	"October"	"10"	"Single"	"1"	18822
	"2016"	"2016"	"October"	"10"	"Twin"	"2"	694
	"2016"	"2016"	"October"	"10"	"Triplet"	"3"	26
	"2016"	"2016"	"November"	"11"	"Single"	"1"	17963
	"2016"	"2016"	"November"	"11"	"Twin"	"2"	700
	"2016"	"2016"	"November"	"11"	"Triplet"	"3"	17
	"2016"	"2016"	"December"	"12"	"Single"	"1"	18512
	"2016"	"2016"	"December"	"12"	"Twin"	"2"	780
	"2016"	"2016"	"December"	"12"	"Triplet"	"3"	29
	"2017"	"2017"	"January"	"1"	"Single"	"1"	17932
	"2017"	"2017"	"January"	"1"	"Twin"	"2"	624
	"2017"	"2017"	"January"	"1"	"Triplet"	"3"	21
	"2017"	"2017"	"February"	"2"	"Single"	"1"	16607
	"2017"	"2017"	"February"	"2"	"Twin"	"2"	604
	"2017"	"2017"	"February"	"2"	"Triplet"	"3"	24
	"2017"	"2017"	"March"	"3"	"Single"	"1"	18285
	"2017"	"2017"	"March"	"3"	"Twin"	"2"	705
	"2017"	"2017"	"March"	"3"	"Triplet"	"3"	17
	"2017"	"2017"	"April"	"4"	"Single"	"1"	17607
	"2017"	"2017"	"April"	"4"	"Twin"	"2"	658
	"2017"	"2017"	"April"	"4"	"Triplet"	"3"	19
	"2017"	"2017"	"May"	"5"	"Single"	"1"	18599
	"2017"	"2017"	"May"	"5"	"Twin"	"2"	633
	"2017"	"2017"	"May"	"5"	"Triplet"	"3"	17
	"2017"	"2017"	"June"	"6"	"Single"	"1"	18742
	"2017"	"2017"	"June"	"6"	"Twin"	"2"	726
	"2017"	"2017"	"June"	"6"	"Triplet"	"3"	30
	"2017"	"2017"	"July"	"7"	"Single"	"1"	19477
	"2017"	"2017"	"July"	"7"	"Twin"	"2"	759
	"2017"	"2017"	"July"	"7"	"Triplet"	"3"	26
	"2017"	"2017"	"August"	"8"	"Single"	"1"	19762
	"2017"	"2017"	"August"	"8"	"Twin"	"2"	725
	"2017"	"2017"	"August"	"8"	"Triplet"	"3"	24
	"2017"	"2017"	"September"	"9"	"Single"	"1"	19100
	"2017"	"2017"	"September"	"9"	"Twin"	"2"	727
	"2017"	"2017"	"September"	"9"	"Triplet"	"3"	16
	"2017"	"2017"	"October"	"10"	"Single"	"1"	18934
	"2017"	"2017"	"October"	"10"	"Twin"	"2"	695
	"2017"	"2017"	"October"	"10"	"Triplet"	"3"	24
	"2017"	"2017"	"November"	"11"	"Single"	"1"	18292
	"2017"	"2017"	"November"	"11"	"Twin"	"2"	660
	"2017"	"2017"	"November"	"11"	"Triplet"	"3"	25
	"2017"	"2017"	"December"	"12"	"Single"	"1"	17995
	"2017"	"2017"	"December"	"12"	"Twin"	"2"	595
	"2017"	"2017"	"December"	"12"	"Triplet"	"3"	32
	"2018"	"2018"	"January"	"1"	"Single"	"1"	18312
	"2018"	"2018"	"January"	"1"	"Twin"	"2"	714
	"2018"	"2018"	"January"	"1"	"Triplet"	"3"	30
	"2018"	"2018"	"February"	"2"	"Single"	"1"	16125
	"2018"	"2018"	"February"	"2"	"Twin"	"2"	604
	"2018"	"2018"	"February"	"2"	"Triplet"	"3"	15
	"2018"	"2018"	"March"	"3"	"Single"	"1"	18019
	"2018"	"2018"	"March"	"3"	"Twin"	"2"	665
	"2018"	"2018"	"March"	"3"	"Triplet"	"3"	18
	"2018"	"2018"	"April"	"4"	"Single"	"1"	17339
	"2018"	"2018"	"April"	"4"	"Twin"	"2"	638
	"2018"	"2018"	"April"	"4"	"Triplet"	"3"	35
	"2018"	"2018"	"May"	"5"	"Single"	"1"	18820
	"2018"	"2018"	"May"	"5"	"Twin"	"2"	692
	"2018"	"2018"	"May"	"5"	"Triplet"	"3"	34
	"2018"	"2018"	"June"	"6"	"Single"	"1"	18649
	"2018"	"2018"	"June"	"6"	"Twin"	"2"	689
