"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2015"	"2015"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	80
"Total"	"2015"	"2015"	"December"	"12"	"Saturday"	"7"			2015
"Total"	"2015"	"2015"	"December"	"12"					19606
"Total"	"2015"	"2015"							237274
	"2016"	"2016"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	2144
	"2016"	"2016"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	74
"Total"	"2016"	"2016"	"January"	"1"	"Sunday"	"1"			2218
	"2016"	"2016"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2464
	"2016"	"2016"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	96
"Total"	"2016"	"2016"	"January"	"1"	"Monday"	"2"			2563
	"2016"	"2016"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	2743
	"2016"	"2016"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	127
"Total"	"2016"	"2016"	"January"	"1"	"Tuesday"	"3"			2873
	"2016"	"2016"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	2717
	"2016"	"2016"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	113
"Total"	"2016"	"2016"	"January"	"1"	"Wednesday"	"4"			2830
	"2016"	"2016"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	2708
	"2016"	"2016"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	116
"Total"	"2016"	"2016"	"January"	"1"	"Thursday"	"5"			2824
	"2016"	"2016"	"January"	"1"	"Friday"	"6"	"Single"	"1"	3142
	"2016"	"2016"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	109
"Total"	"2016"	"2016"	"January"	"1"	"Friday"	"6"			3251
	"2016"	"2016"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2504
	"2016"	"2016"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	68
"Total"	"2016"	"2016"	"January"	"1"	"Saturday"	"7"			2572
"Total"	"2016"	"2016"	"January"	"1"					19131
	"2016"	"2016"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1850
	"2016"	"2016"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	67
"Total"	"2016"	"2016"	"February"	"2"	"Sunday"	"1"			1917
	"2016"	"2016"	"February"	"2"	"Monday"	"2"	"Single"	"1"	3002
	"2016"	"2016"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	101
"Total"	"2016"	"2016"	"February"	"2"	"Monday"	"2"			3103
	"2016"	"2016"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2686
	"2016"	"2016"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	104
"Total"	"2016"	"2016"	"February"	"2"	"Tuesday"	"3"			2792
	"2016"	"2016"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2550
	"2016"	"2016"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	99
"Total"	"2016"	"2016"	"February"	"2"	"Wednesday"	"4"			2655
	"2016"	"2016"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2653
	"2016"	"2016"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	106
"Total"	"2016"	"2016"	"February"	"2"	"Thursday"	"5"			2763
	"2016"	"2016"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2725
	"2016"	"2016"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	110
"Total"	"2016"	"2016"	"February"	"2"	"Friday"	"6"			2835
	"2016"	"2016"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2056
	"2016"	"2016"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	69
"Total"	"2016"	"2016"	"February"	"2"	"Saturday"	"7"			2125
"Total"	"2016"	"2016"	"February"	"2"					18190
	"2016"	"2016"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	1621
	"2016"	"2016"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	56
"Total"	"2016"	"2016"	"March"	"3"	"Sunday"	"1"			1677
	"2016"	"2016"	"March"	"3"	"Monday"	"2"	"Single"	"1"	2403
	"2016"	"2016"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	106
"Total"	"2016"	"2016"	"March"	"3"	"Monday"	"2"			2515
	"2016"	"2016"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	3241
	"2016"	"2016"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	126
"Total"	"2016"	"2016"	"March"	"3"	"Tuesday"	"3"			3370
	"2016"	"2016"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	3255
	"2016"	"2016"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	133
"Total"	"2016"	"2016"	"March"	"3"	"Wednesday"	"4"			3391
	"2016"	"2016"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	3273
	"2016"	"2016"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	162
"Total"	"2016"	"2016"	"March"	"3"	"Thursday"	"5"			3438
	"2016"	"2016"	"March"	"3"	"Friday"	"6"	"Single"	"1"	2685
	"2016"	"2016"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	107
"Total"	"2016"	"2016"	"March"	"3"	"Friday"	"6"			2792
	"2016"	"2016"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	1842
	"2016"	"2016"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	61
"Total"	"2016"	"2016"	"March"	"3"	"Saturday"	"7"			1903
"Total"	"2016"	"2016"	"March"	"3"					19086
	"2016"	"2016"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	1808
	"2016"	"2016"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	56
"Total"	"2016"	"2016"	"April"	"4"	"Sunday"	"1"			1864
	"2016"	"2016"	"April"	"4"	"Monday"	"2"	"Single"	"1"	2552
	"2016"	"2016"	"April"	"4"	"Monday"	"2"	"Twin"	"2"	130
"Total"	"2016"	"2016"	"April"	"4"	"Monday"	"2"			2685
	"2016"	"2016"	"April"	"4"	"Tuesday"	"3"	"Single"	"1"	2714
	"2016"	"2016"	"April"	"4"	"Tuesday"	"3"	"Twin"	"2"	141
"Total"	"2016"	"2016"	"April"	"4"	"Tuesday"	"3"			2858
	"2016"	"2016"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	2567
	"2016"	"2016"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	92
"Total"	"2016"	"2016"	"April"	"4"	"Wednesday"	"4"			2659
	"2016"	"2016"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	2696
	"2016"	"2016"	"April"	"4"	"Thursday"	"5"	"Twin"	"2"	108
"Total"	"2016"	"2016"	"April"	"4"	"Thursday"	"5"			2813
	"2016"	"2016"	"April"	"4"	"Friday"	"6"	"Single"	"1"	3403
	"2016"	"2016"	"April"	"4"	"Friday"	"6"	"Twin"	"2"	134
	"2016"	"2016"	"April"	"4"	"Friday"	"6"	"Triplet"	"3"	10
"Total"	"2016"	"2016"	"April"	"4"	"Friday"	"6"			3547
	"2016"	"2016"	"April"	"4"	"Saturday"	"7"	"Single"	"1"	2546
	"2016"	"2016"	"April"	"4"	"Saturday"	"7"	"Twin"	"2"	96
"Total"	"2016"	"2016"	"April"	"4"	"Saturday"	"7"			2647
"Total"	"2016"	"2016"	"April"	"4"					19073
	"2016"	"2016"	"May"	"5"	"Sunday"	"1"	"Single"	"1"	2373
	"2016"	"2016"	"May"	"5"	"Sunday"	"1"	"Twin"	"2"	55
"Total"	"2016"	"2016"	"May"	"5"	"Sunday"	"1"			2430
	"2016"	"2016"	"May"	"5"	"Monday"	"2"	"Single"	"1"	3020
	"2016"	"2016"	"May"	"5"	"Monday"	"2"	"Twin"	"2"	173
"Total"	"2016"	"2016"	"May"	"5"	"Monday"	"2"			3199
	"2016"	"2016"	"May"	"5"	"Tuesday"	"3"	"Single"	"1"	3519
	"2016"	"2016"	"May"	"5"	"Tuesday"	"3"	"Twin"	"2"	127
"Total"	"2016"	"2016"	"May"	"5"	"Tuesday"	"3"			3646
	"2016"	"2016"	"May"	"5"	"Wednesday"	"4"	"Single"	"1"	2804
	"2016"	"2016"	"May"	"5"	"Wednesday"	"4"	"Twin"	"2"	103
"Total"	"2016"	"2016"	"May"	"5"	"Wednesday"	"4"			2913
	"2016"	"2016"	"May"	"5"	"Thursday"	"5"	"Single"	"1"	2690
	"2016"	"2016"	"May"	"5"	"Thursday"	"5"	"Twin"	"2"	97
"Total"	"2016"	"2016"	"May"	"5"	"Thursday"	"5"			2787
	"2016"	"2016"	"May"	"5"	"Friday"	"6"	"Single"	"1"	2715
	"2016"	"2016"	"May"	"5"	"Friday"	"6"	"Twin"	"2"	119
"Total"	"2016"	"2016"	"May"	"5"	"Friday"	"6"			2839
	"2016"	"2016"	"May"	"5"	"Saturday"	"7"	"Single"	"1"	2022
	"2016"	"2016"	"May"	"5"	"Saturday"	"7"	"Twin"	"2"	52
"Total"	"2016"	"2016"	"May"	"5"	"Saturday"	"7"			2077
"Total"	"2016"	"2016"	"May"	"5"					19891
	"2016"	"2016"	"June"	"6"	"Sunday"	"1"	"Single"	"1"	1860
	"2016"	"2016"	"June"	"6"	"Sunday"	"1"	"Twin"	"2"	50
"Total"	"2016"	"2016"	"June"	"6"	"Sunday"	"1"			1910
	"2016"	"2016"	"June"	"6"	"Monday"	"2"	"Single"	"1"	2547
	"2016"	"2016"	"June"	"6"	"Monday"	"2"	"Twin"	"2"	106
"Total"	"2016"	"2016"	"June"	"6"	"Monday"	"2"			2653
	"2016"	"2016"	"June"	"6"	"Tuesday"	"3"	"Single"	"1"	2759
	"2016"	"2016"	"June"	"6"	"Tuesday"	"3"	"Twin"	"2"	79
"Total"	"2016"	"2016"	"June"	"6"	"Tuesday"	"3"			2841
	"2016"	"2016"	"June"	"6"	"Wednesday"	"4"	"Single"	"1"	3567
	"2016"	"2016"	"June"	"6"	"Wednesday"	"4"	"Twin"	"2"	157
"Total"	"2016"	"2016"	"June"	"6"	"Wednesday"	"4"			3730
	"2016"	"2016"	"June"	"6"	"Thursday"	"5"	"Single"	"1"	3445
	"2016"	"2016"	"June"	"6"	"Thursday"	"5"	"Twin"	"2"	103
"Total"	"2016"	"2016"	"June"	"6"	"Thursday"	"5"			3553
	"2016"	"2016"	"June"	"6"	"Friday"	"6"	"Single"	"1"	2718
	"2016"	"2016"	"June"	"6"	"Friday"	"6"	"Twin"	"2"	108
"Total"	"2016"	"2016"	"June"	"6"	"Friday"	"6"			2833
	"2016"	"2016"	"June"	"6"	"Saturday"	"7"	"Single"	"1"	2023
	"2016"	"2016"	"June"	"6"	"Saturday"	"7"	"Twin"	"2"	45
"Total"	"2016"	"2016"	"June"	"6"	"Saturday"	"7"			2071
"Total"	"2016"	"2016"	"June"	"6"					19591
	"2016"	"2016"	"July"	"7"	"Sunday"	"1"	"Single"	"1"	2431
	"2016"	"2016"	"July"	"7"	"Sunday"	"1"	"Twin"	"2"	50
"Total"	"2016"	"2016"	"July"	"7"	"Sunday"	"1"			2481
	"2016"	"2016"	"July"	"7"	"Monday"	"2"	"Single"	"1"	2510
	"2016"	"2016"	"July"	"7"	"Monday"	"2"	"Twin"	"2"	98
"Total"	"2016"	"2016"	"July"	"7"	"Monday"	"2"			2608
	"2016"	"2016"	"July"	"7"	"Tuesday"	"3"	"Single"	"1"	2802
	"2016"	"2016"	"July"	"7"	"Tuesday"	"3"	"Twin"	"2"	131
"Total"	"2016"	"2016"	"July"	"7"	"Tuesday"	"3"			2936
	"2016"	"2016"	"July"	"7"	"Wednesday"	"4"	"Single"	"1"	2828
	"2016"	"2016"	"July"	"7"	"Wednesday"	"4"	"Twin"	"2"	137
"Total"	"2016"	"2016"	"July"	"7"	"Wednesday"	"4"			2968
	"2016"	"2016"	"July"	"7"	"Thursday"	"5"	"Single"	"1"	2868
	"2016"	"2016"	"July"	"7"	"Thursday"	"5"	"Twin"	"2"	106
"Total"	"2016"	"2016"	"July"	"7"	"Thursday"	"5"			2974
	"2016"	"2016"	"July"	"7"	"Friday"	"6"	"Single"	"1"	3627
	"2016"	"2016"	"July"	"7"	"Friday"	"6"	"Twin"	"2"	165
"Total"	"2016"	"2016"	"July"	"7"	"Friday"	"6"			3792
	"2016"	"2016"	"July"	"7"	"Saturday"	"7"	"Single"	"1"	2719
	"2016"	"2016"	"July"	"7"	"Saturday"	"7"	"Twin"	"2"	69
"Total"	"2016"	"2016"	"July"	"7"	"Saturday"	"7"			2788
"Total"	"2016"	"2016"	"July"	"7"					20547
	"2016"	"2016"	"August"	"8"	"Sunday"	"1"	"Single"	"1"	2024
	"2016"	"2016"	"August"	"8"	"Sunday"	"1"	"Twin"	"2"	31
"Total"	"2016"	"2016"	"August"	"8"	"Sunday"	"1"			2055
	"2016"	"2016"	"August"	"8"	"Monday"	"2"	"Single"	"1"	3377
	"2016"	"2016"	"August"	"8"	"Monday"	"2"	"Twin"	"2"	130
"Total"	"2016"	"2016"	"August"	"8"	"Monday"	"2"			3510
	"2016"	"2016"	"August"	"8"	"Tuesday"	"3"	"Single"	"1"	3625
	"2016"	"2016"	"August"	"8"	"Tuesday"	"3"	"Twin"	"2"	124
"Total"	"2016"	"2016"	"August"	"8"	"Tuesday"	"3"			3752
	"2016"	"2016"	"August"	"8"	"Wednesday"	"4"	"Single"	"1"	3517
	"2016"	"2016"	"August"	"8"	"Wednesday"	"4"	"Twin"	"2"	122
"Total"	"2016"	"2016"	"August"	"8"	"Wednesday"	"4"			3642
	"2016"	"2016"	"August"	"8"	"Thursday"	"5"	"Single"	"1"	2803
	"2016"	"2016"	"August"	"8"	"Thursday"	"5"	"Twin"	"2"	124
"Total"	"2016"	"2016"	"August"	"8"	"Thursday"	"5"			2927
	"2016"	"2016"	"August"	"8"	"Friday"	"6"	"Single"	"1"	2888
	"2016"	"2016"	"August"	"8"	"Friday"	"6"	"Twin"	"2"	128
"Total"	"2016"	"2016"	"August"	"8"	"Friday"	"6"			3023
	"2016"	"2016"	"August"	"8"	"Saturday"	"7"	"Single"	"1"	2195
	"2016"	"2016"	"August"	"8"	"Saturday"	"7"	"Twin"	"2"	54
"Total"	"2016"	"2016"	"August"	"8"	"Saturday"	"7"			2254
"Total"	"2016"	"2016"	"August"	"8"					21163
	"2016"	"2016"	"September"	"9"	"Sunday"	"1"	"Single"	"1"	1954
	"2016"	"2016"	"September"	"9"	"Sunday"	"1"	"Twin"	"2"	49
"Total"	"2016"	"2016"	"September"	"9"	"Sunday"	"1"			2003
	"2016"	"2016"	"September"	"9"	"Monday"	"2"	"Single"	"1"	2450
	"2016"	"2016"	"September"	"9"	"Monday"	"2"	"Twin"	"2"	91
"Total"	"2016"	"2016"	"September"	"9"	"Monday"	"2"			2547
	"2016"	"2016"	"September"	"9"	"Tuesday"	"3"	"Single"	"1"	2780
	"2016"	"2016"	"September"	"9"	"Tuesday"	"3"	"Twin"	"2"	90
"Total"	"2016"	"2016"	"September"	"9"	"Tuesday"	"3"			2870
	"2016"	"2016"	"September"	"9"	"Wednesday"	"4"	"Single"	"1"	2847
	"2016"	"2016"	"September"	"9"	"Wednesday"	"4"	"Twin"	"2"	97
"Total"	"2016"	"2016"	"September"	"9"	"Wednesday"	"4"			2946
	"2016"	"2016"	"September"	"9"	"Thursday"	"5"	"Single"	"1"	3569
	"2016"	"2016"	"September"	"9"	"Thursday"	"5"	"Twin"	"2"	156
"Total"	"2016"	"2016"	"September"	"9"	"Thursday"	"5"			3728
	"2016"	"2016"	"September"	"9"	"Friday"	"6"	"Single"	"1"	3570
	"2016"	"2016"	"September"	"9"	"Friday"	"6"	"Twin"	"2"	124
"Total"	"2016"	"2016"	"September"	"9"	"Friday"	"6"			3697
	"2016"	"2016"	"September"	"9"	"Saturday"	"7"	"Single"	"1"	2229
	"2016"	"2016"	"September"	"9"	"Saturday"	"7"	"Twin"	"2"	48
"Total"	"2016"	"2016"	"September"	"9"	"Saturday"	"7"			2277
"Total"	"2016"	"2016"	"September"	"9"					20068
	"2016"	"2016"	"October"	"10"	"Sunday"	"1"	"Single"	"1"	2383
	"2016"	"2016"	"October"	"10"	"Sunday"	"1"	"Twin"	"2"	61
"Total"	"2016"	"2016"	"October"	"10"	"Sunday"	"1"			2447
	"2016"	"2016"	"October"	"10"	"Monday"	"2"	"Single"	"1"	3072
	"2016"	"2016"	"October"	"10"	"Monday"	"2"	"Twin"	"2"	146
"Total"	"2016"	"2016"	"October"	"10"	"Monday"	"2"			3226
	"2016"	"2016"	"October"	"10"	"Tuesday"	"3"	"Single"	"1"	2656
	"2016"	"2016"	"October"	"10"	"Tuesday"	"3"	"Twin"	"2"	93
"Total"	"2016"	"2016"	"October"	"10"	"Tuesday"	"3"			2749
	"2016"	"2016"	"October"	"10"	"Wednesday"	"4"	"Single"	"1"	2671
	"2016"	"2016"	"October"	"10"	"Wednesday"	"4"	"Twin"	"2"	84
"Total"	"2016"	"2016"	"October"	"10"	"Wednesday"	"4"			2755
	"2016"	"2016"	"October"	"10"	"Thursday"	"5"	"Single"	"1"	2643
	"2016"	"2016"	"October"	"10"	"Thursday"	"5"	"Twin"	"2"	124
"Total"	"2016"	"2016"	"October"	"10"	"Thursday"	"5"			2776
	"2016"	"2016"	"October"	"10"	"Friday"	"6"	"Single"	"1"	2841
	"2016"	"2016"	"October"	"10"	"Friday"	"6"	"Twin"	"2"	110
"Total"	"2016"	"2016"	"October"	"10"	"Friday"	"6"			2951
	"2016"	"2016"	"October"	"10"	"Saturday"	"7"	"Single"	"1"	2556
	"2016"	"2016"	"October"	"10"	"Saturday"	"7"	"Twin"	"2"	76
"Total"	"2016"	"2016"	"October"	"10"	"Saturday"	"7"			2638
"Total"	"2016"	"2016"	"October"	"10"					19542
	"2016"	"2016"	"November"	"11"	"Sunday"	"1"	"Single"	"1"	1861
	"2016"	"2016"	"November"	"11"	"Sunday"	"1"	"Twin"	"2"	54
"Total"	"2016"	"2016"	"November"	"11"	"Sunday"	"1"			1917
	"2016"	"2016"	"November"	"11"	"Monday"	"2"	"Single"	"1"	2525
	"2016"	"2016"	"November"	"11"	"Monday"	"2"	"Twin"	"2"	136
"Total"	"2016"	"2016"	"November"	"11"	"Monday"	"2"			2664
	"2016"	"2016"	"November"	"11"	"Tuesday"	"3"	"Single"	"1"	3355
	"2016"	"2016"	"November"	"11"	"Tuesday"	"3"	"Twin"	"2"	127
"Total"	"2016"	"2016"	"November"	"11"	"Tuesday"	"3"			3485
	"2016"	"2016"	"November"	"11"	"Wednesday"	"4"	"Single"	"1"	3275
	"2016"	"2016"	"November"	"11"	"Wednesday"	"4"	"Twin"	"2"	134
"Total"	"2016"	"2016"	"November"	"11"	"Wednesday"	"4"			3412
	"2016"	"2016"	"November"	"11"	"Thursday"	"5"	"Single"	"1"	2402
	"2016"	"2016"	"November"	"11"	"Thursday"	"5"	"Twin"	"2"	102
"Total"	"2016"	"2016"	"November"	"11"	"Thursday"	"5"			2507
	"2016"	"2016"	"November"	"11"	"Friday"	"6"	"Single"	"1"	2523
	"2016"	"2016"	"November"	"11"	"Friday"	"6"	"Twin"	"2"	89
"Total"	"2016"	"2016"	"November"	"11"	"Friday"	"6"			2612
	"2016"	"2016"	"November"	"11"	"Saturday"	"7"	"Single"	"1"	2022
	"2016"	"2016"	"November"	"11"	"Saturday"	"7"	"Twin"	"2"	58
"Total"	"2016"	"2016"	"November"	"11"	"Saturday"	"7"			2083
"Total"	"2016"	"2016"	"November"	"11"					18680
	"2016"	"2016"	"December"	"12"	"Sunday"	"1"	"Single"	"1"	1840
	"2016"	"2016"	"December"	"12"	"Sunday"	"1"	"Twin"	"2"	50
"Total"	"2016"	"2016"	"December"	"12"	"Sunday"	"1"			1890
	"2016"	"2016"	"December"	"12"	"Monday"	"2"	"Single"	"1"	2312
	"2016"	"2016"	"December"	"12"	"Monday"	"2"	"Twin"	"2"	89
"Total"	"2016"	"2016"	"December"	"12"	"Monday"	"2"			2405
	"2016"	"2016"	"December"	"12"	"Tuesday"	"3"	"Single"	"1"	2621
	"2016"	"2016"	"December"	"12"	"Tuesday"	"3"	"Twin"	"2"	127
"Total"	"2016"	"2016"	"December"	"12"	"Tuesday"	"3"			2748
	"2016"	"2016"	"December"	"12"	"Wednesday"	"4"	"Single"	"1"	2682
	"2016"	"2016"	"December"	"12"	"Wednesday"	"4"	"Twin"	"2"	116
"Total"	"2016"	"2016"	"December"	"12"	"Wednesday"	"4"			2804
	"2016"	"2016"	"December"	"12"	"Thursday"	"5"	"Single"	"1"	3360
	"2016"	"2016"	"December"	"12"	"Thursday"	"5"	"Twin"	"2"	156
	"2016"	"2016"	"December"	"12"	"Thursday"	"5"	"Triplet"	"3"	12
"Total"	"2016"	"2016"	"December"	"12"	"Thursday"	"5"			3528
	"2016"	"2016"	"December"	"12"	"Friday"	"6"	"Single"	"1"	3218
	"2016"	"2016"	"December"	"12"	"Friday"	"6"	"Twin"	"2"	152
"Total"	"2016"	"2016"	"December"	"12"	"Friday"	"6"			3376
	"2016"	"2016"	"December"	"12"	"Saturday"	"7"	"Single"	"1"	2479
	"2016"	"2016"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	90
"Total"	"2016"	"2016"	"December"	"12"	"Saturday"	"7"			2570
"Total"	"2016"	"2016"	"December"	"12"					19321
"Total"	"2016"	"2016"							234283
	"2017"	"2017"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	2298
	"2017"	"2017"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	49
"Total"	"2017"	"2017"	"January"	"1"	"Sunday"	"1"			2347
	"2017"	"2017"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2719
	"2017"	"2017"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	91
"Total"	"2017"	"2017"	"January"	"1"	"Monday"	"2"			2819
	"2017"	"2017"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	3130
	"2017"	"2017"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	107
"Total"	"2017"	"2017"	"January"	"1"	"Tuesday"	"3"			3237
	"2017"	"2017"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	2621
	"2017"	"2017"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	121
"Total"	"2017"	"2017"	"January"	"1"	"Wednesday"	"4"			2742
	"2017"	"2017"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	2565
	"2017"	"2017"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	108
"Total"	"2017"	"2017"	"January"	"1"	"Thursday"	"5"			2676
	"2017"	"2017"	"January"	"1"	"Friday"	"6"	"Single"	"1"	2597
	"2017"	"2017"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	85
"Total"	"2017"	"2017"	"January"	"1"	"Friday"	"6"			2685
	"2017"	"2017"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2002
	"2017"	"2017"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	63
"Total"	"2017"	"2017"	"January"	"1"	"Saturday"	"7"			2071
"Total"	"2017"	"2017"	"January"	"1"					18577
	"2017"	"2017"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1691
	"2017"	"2017"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	51
"Total"	"2017"	"2017"	"February"	"2"	"Sunday"	"1"			1745
	"2017"	"2017"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2373
	"2017"	"2017"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	84
"Total"	"2017"	"2017"	"February"	"2"	"Monday"	"2"			2457
	"2017"	"2017"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2585
	"2017"	"2017"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	92
"Total"	"2017"	"2017"	"February"	"2"	"Tuesday"	"3"			2677
	"2017"	"2017"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2628
	"2017"	"2017"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	103
	"2017"	"2017"	"February"	"2"	"Wednesday"	"4"	"Triplet"	"3"	12
"Total"	"2017"	"2017"	"February"	"2"	"Wednesday"	"4"			2743
	"2017"	"2017"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2661
	"2017"	"2017"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	115
"Total"	"2017"	"2017"	"February"	"2"	"Thursday"	"5"			2779
	"2017"	"2017"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2670
	"2017"	"2017"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	93
"Total"	"2017"	"2017"	"February"	"2"	"Friday"	"6"			2769
	"2017"	"2017"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	1999
	"2017"	"2017"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	66
"Total"	"2017"	"2017"	"February"	"2"	"Saturday"	"7"			2065
"Total"	"2017"	"2017"	"February"	"2"					17235
	"2017"	"2017"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	1726
	"2017"	"2017"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	47
"Total"	"2017"	"2017"	"March"	"3"	"Sunday"	"1"			1773
	"2017"	"2017"	"March"	"3"	"Monday"	"2"	"Single"	"1"	2414
	"2017"	"2017"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	83
"Total"	"2017"	"2017"	"March"	"3"	"Monday"	"2"			2503
	"2017"	"2017"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	2560
	"2017"	"2017"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	77
"Total"	"2017"	"2017"	"March"	"3"	"Tuesday"	"3"			2639
	"2017"	"2017"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	3188
	"2017"	"2017"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	157
"Total"	"2017"	"2017"	"March"	"3"	"Wednesday"	"4"			3348
	"2017"	"2017"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	3195
	"2017"	"2017"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	135
"Total"	"2017"	"2017"	"March"	"3"	"Thursday"	"5"			3336
	"2017"	"2017"	"March"	"3"	"Friday"	"6"	"Single"	"1"	3182
	"2017"	"2017"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	127
"Total"	"2017"	"2017"	"March"	"3"	"Friday"	"6"			3309
	"2017"	"2017"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	2020
	"2017"	"2017"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	79
"Total"	"2017"	"2017"	"March"	"3"	"Saturday"	"7"			2099
"Total"	"2017"	"2017"	"March"	"3"					19007
	"2017"	"2017"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	2270
	"2017"	"2017"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	55
"Total"	"2017"	"2017"	"April"	"4"	"Sunday"	"1"			2326
	"2017"	"2017"	"April"	"4"	"Monday"	"2"	"Single"	"1"	2489
	"2017"	"2017"	"April"	"4"	"Monday"	"2"	"Twin"	"2"	110
"Total"	"2017"	"2017"	"April"	"4"	"Monday"	"2"			2609
	"2017"	"2017"	"April"	"4"	"Tuesday"	"3"	"Single"	"1"	2701
	"2017"	"2017"	"April"	"4"	"Tuesday"	"3"	"Twin"	"2"	110
"Total"	"2017"	"2017"	"April"	"4"	"Tuesday"	"3"			2814
	"2017"	"2017"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	2496
	"2017"	"2017"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	107
"Total"	"2017"	"2017"	"April"	"4"	"Wednesday"	"4"			2606
	"2017"	"2017"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	2545
