"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"August"	"8"	"42 weeks"	"42"	705
	"2007"	"2007"	"August"	"8"	"43 weeks"	"43"	352
	"2007"	"2007"	"August"	"8"	"44 weeks"	"44"	164
	"2007"	"2007"	"August"	"8"	"45 weeks"	"45"	95
	"2007"	"2007"	"August"	"8"	"46 weeks"	"46"	29
	"2007"	"2007"	"August"	"8"	"47 weeks"	"47"	12
	"2007"	"2007"	"August"	"8"	"Unknown or Not Stated"	"99"	20
"Total"	"2007"	"2007"	"August"	"8"			21722
	"2007"	"2007"	"September"	"9"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"September"	"9"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"September"	"9"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"September"	"9"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"September"	"9"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"September"	"9"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"September"	"9"	"23 weeks"	"23"	Suppressed
	"2007"	"2007"	"September"	"9"	"24 weeks"	"24"	12
	"2007"	"2007"	"September"	"9"	"25 weeks"	"25"	15
	"2007"	"2007"	"September"	"9"	"26 weeks"	"26"	37
	"2007"	"2007"	"September"	"9"	"27 weeks"	"27"	30
	"2007"	"2007"	"September"	"9"	"28 weeks"	"28"	41
	"2007"	"2007"	"September"	"9"	"29 weeks"	"29"	45
	"2007"	"2007"	"September"	"9"	"30 weeks"	"30"	50
	"2007"	"2007"	"September"	"9"	"31 weeks"	"31"	81
	"2007"	"2007"	"September"	"9"	"32 weeks"	"32"	112
	"2007"	"2007"	"September"	"9"	"33 weeks"	"33"	133
	"2007"	"2007"	"September"	"9"	"34 weeks"	"34"	246
	"2007"	"2007"	"September"	"9"	"35 weeks"	"35"	377
	"2007"	"2007"	"September"	"9"	"36 weeks"	"36"	797
	"2007"	"2007"	"September"	"9"	"37 weeks"	"37"	1607
	"2007"	"2007"	"September"	"9"	"38 weeks"	"38"	3582
